N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
144,TIGER 미국나스닥100,"75,940",95,-0.12%,0,"20,208","26,610",0.00,"202,902",N/A,N/A,
145,현대차우,"82,700",100,+0.12%,"5,000","20,143","24,357",57.39,"50,505",4.63,N/A,
146,TIGER 200,"36,680",90,+0.25%,0,"19,954","54,400",0.96,"737,899",N/A,N/A,
147,영원무역,"44,850",300,+0.67%,500,"19,874","44,311",27.94,"102,809",8.62,8.03,
148,롯데정밀화학,"77,000",600,-0.77%,"5,000","19,866","25,800",20.56,"112,288",3.39,30.43,
149,두산,"118,000","1,500",+1.29%,"5,000","19,498","16,524",9.03,"92,770",-67.97,-34.34,
150,LG화학우,"250,500","3,000",-1.18%,"5,000","19,260","7,689",71.81,"41,691",5.34,N/A,
151,대웅,"32,850",800,+2.50%,500,"19,100","58,142",4.49,"66,255",24.24,11.13,
152,한전KPS,"42,200",100,+0.24%,200,"18,990","45,000",5.80,"441,866",19.24,9.12,
153,솔루스첨단소재,"62,000","2,800",+4.73%,100,"18,966","30,590",6.17,"282,262",206.67,4.00,
154,KODEX 200선물인버스2X,"2,485",15,-0.60%,0,"18,722","753,400",6.80,"132,786,886",N/A,N/A,
155,농심,"294,500","3,000",-1.01%,"5,000","17,913","6,083",12.40,"44,749",16.78,7.50,
156,효성,"84,500",100,+0.12%,"5,000","17,805","21,071",7.39,"27,068",4.06,18.04,
157,아이에스동서,"57,200",200,+0.35%,500,"17,671","30,893",4.00,"79,971",32.76,10.92,
158,현대백화점,"75,300","1,800",-2.33%,"5,000","17,622","23,402",18.23,"168,518",11.39,1.65,
159,후성,"18,400",0,0.00%,500,"17,040","92,607",6.45,"1,184,993",61.95,2.79,
160,LS,"51,900",700,+1.37%,"5,000","16,712","32,200",13.48,"68,884",6.52,3.94,
161,TIGER 단기통안채,"100,710",5,0.00%,0,"16,683","16,565",0.73,"403,631",N/A,N/A,
162,동원시스템즈,"56,400",100,+0.18%,"5,000","16,462","29,188",13.06,"20,619",37.88,6.95,
163,현대위아,"60,200",400,+0.67%,"5,000","16,371","27,195",7.18,"157,070",26.27,1.96,
164,한미반도체,"33,000",800,+2.48%,200,"16,322","49,460",5.68,"208,325",15.74,34.59,
165,LIG넥스원,"73,700","2,100",+2.93%,"5,000","16,214","22,000",7.26,"279,807",17.18,8.86,
166,동국제강,"16,950",300,+1.80%,"5,000","16,176","95,433",22.54,"1,070,473",3.58,3.35,
167,코오롱인더,"58,700",200,-0.34%,"5,000","16,154","27,519",20.41,"94,585",9.11,9.70,
168,JB금융지주,"8,040",50,-0.62%,"5,000","15,837","196,983",41.88,"399,938",3.32,10.06,
169,아시아나항공,"21,250",50,+0.24%,"5,000","15,812","74,412",7.18,"1,106,727",-3.65,-43.83,
170,KODEX MSCI Korea TR,"11,720",10,+0.09%,0,"15,810","134,900",11.19,"840,256",N/A,N/A,
171,오뚜기,"429,000","1,500",+0.35%,"5,000","15,753","3,672",11.60,"2,488",14.24,7.93,
172,KODEX 단기채권,"103,350",5,0.00%,0,"15,699","15,190",0.00,"34,465",N/A,N/A,
173,DGB금융지주,"9,250",30,+0.33%,"5,000","15,646","169,146",50.01,"826,980",3.30,6.93,
174,현대엘리베이,"37,450",100,+0.27%,"5,000","15,285","40,815",30.24,"99,151",24.13,9.78,
175,롯데렌탈,"41,600","3,300",+8.62%,"5,000","15,240","36,634",1.67,"1,958,417",11.29,12.28,
176,일진하이솔루스,"41,600","2,150",+5.45%,500,"15,106","36,313",1.08,"324,971",146.48,4.97,
177,케이카,"31,400","1,150",+3.80%,500,"15,099","48,087",17.49,"6,087,408",52.16,15.11,
178,롯데칠성,"160,000",500,-0.31%,500,"14,846","9,279",9.85,"29,295",11.69,9.96,
179,KODEX 삼성그룹,"8,885",15,+0.17%,0,"14,785","166,400",0.14,"343,873",N/A,N/A,
180,티와이홀딩스,"28,750",750,+2.68%,500,"14,642","50,929",5.63,"300,493",2.47,N/A,
181,ESR켄달스퀘어리츠,"6,800",80,+1.19%,"1,000","14,490","213,089",53.41,"6,137,848",52.71,1.34,
182,TIGER 미국S&P500,"13,375",45,+0.34%,0,"14,305","106,950",0.00,"1,423,776",N/A,N/A,
183,LS ELECTRIC,"46,550",50,+0.11%,"5,000","13,965","30,000",16.49,"87,742",17.23,6.15,
184,KODEX 종합채권(AA-이상)액티브,"106,210",80,-0.08%,0,"13,853","13,043",0.00,"2,320",N/A,N/A,
185,NHN,"36,650",250,+0.69%,500,"13,750","37,518",19.11,"85,320",42.32,1.35,
186,현대두산인프라코어,"6,890",200,+2.99%,"1,000","13,603","197,436",9.52,"1,207,925",3.01,24.63,
187,일동제약,"52,500","2,500",-4.55%,"1,000","13,547","25,803",3.02,"2,985,491",-50.19,-5.13,
188,한일시멘트,"19,450",50,+0.26%,500,"13,471","69,262",2.64,"266,255",12.81,N/A,
189,롯데리츠,"5,520",110,-1.95%,500,"13,412","242,969",9.54,"369,310",72.63,1.59,
190,더존비즈온,"44,100",250,+0.57%,500,"13,399","30,383",35.36,"137,262",25.83,12.10,
191,PI첨단소재,"44,350",500,+1.14%,500,"13,024","29,366",11.58,"135,113",20.35,21.03,
192,대덕전자,"26,350","1,950",+7.99%,500,"13,021","49,417",11.98,"3,956,017",42.03,N/A,
193,TIGER 미국테크TOP10 INDXX,"11,405",20,-0.18%,0,"13,019","114,150",0.00,"557,181",N/A,N/A,
194,TIGER MSCI Korea TR,"14,690",5,-0.03%,0,"12,942","88,100",0.00,"1,106",N/A,N/A,
195,한국앤컴퍼니,"13,550",0,0.00%,500,"12,864","94,935",9.67,"109,842",5.20,5.08,
196,롯데관광개발,"18,400",200,-1.08%,500,"12,753","69,308",5.66,"588,761",-6.44,-30.43,
197,지누스,"80,500","3,600",+4.68%,500,"12,719","15,800",21.16,"142,535",24.63,11.57,
198,DL,"59,400",200,-0.34%,"5,000","12,448","20,956",12.35,"57,383",1.89,11.84,
199,대한전선,"1,450",15,-1.02%,100,"12,419","856,473",1.47,"6,370,040",40.28,0.92,
200,명신산업,"23,550",100,-0.42%,500,"12,357","52,470",3.08,"940,851",-10.21,-67.39,
